clean_text,category
soon money leaves bank account depression enters body,0
comments returned festive depression christmas,0
even finally finding right therapist recovering depression anxiety done yea,1
comments returned festive depression christmas joy turns,1
comments returned festive depression christmas joy turns holiday blues christmas,1
learn overcome paindepression turn positivity productivity become stronger,0
also might people started waking without severe anxiety depression,0
comments returned festive depression christmas joy turns holiday blues christmas,1
thinking ppl joking abt nanon heart broken relationships stuffs hit different,-1
would pay 840 acute depression music crap,-1
researchers center mental health involved new research study finding,-1
sir four categories involved,0
plus moiti des femmes victimes violences conjugales veloppent une pression elles font cinq fois plus ten,0
nine entertain interview previously nanon admitted depression taking medicines continually cure,-1
avert future erratic high,0
start fwy head shut downdon text call reply tryna nobody else jus,0
bien solo bien pression,0
right attitude god believe going bring meantime asking come,1
wish could love holiday season christmas much taylor anxiety depressi,1
like great depression lets hope still make computer chips,1
always assume life work gets way might time stop anym,0
new episode great chat learned ton research,1
depression,0
looking online therapy skype talk therapist online skype help,0
thread 115 sudden depression theory without investigation ssr justice justice ipc 302,0
anxiety stress depression hit brain time,0
well demographic elements different wealthincome inequality think,0
dramatic struggle diver frees shark discarded fishing gear please share,-1
comments returned festive depression christmas joy turns holiday blues christmas,1
wishing family illness depression,0
jai os e faire premier pas demander num ro mon crush aujourdhui suis handicap e chronique pression,0
want dollars demand dollars grows like pandemic yes prevents massiv,1
dear depression real king comeback king,1
say pano nya masasabing may depression siya tamad someone try first put sho,1
comments returned festive depression christmas joy turns holiday blues christmas,1
maybe someone else depression 0800121314 suicide 0800567567 trauma,0
therapeutics depression developed introducing innovative clinical tool,1
broke depression please stop trivializing mental illnesses playing banter,-1
god could creative making like insomnia along anxiety depression real original big guy,1
normal reaction situation one feels threatened anxious body reacts releasing hormones,-1
elle gentiment follow back quand las follow maintenant deviens cause pression avec des menaces twe,0
trigger warning bullying depression compilation 2min 20s brenda bullying alexa pbb brenda,0
depression intense today someone say something nice,1
bjr peuple une copine travaillant dans caf raconte comportement horrible patron envers les employ es les,-1
everyone remember stream little help friends seasonal depression kicks,-1
study suggests stratified care potential improve depression treatment outcomes modest incremental cost,1
jvj que dernier frein gu rison compl te pression cest lambiance totalement immonde pays lol,1
legitimately symptom depression need talk,0
sports stars voice support open conversations depression ireland,0
know feel consequences terrible could hundreds thousands federal workers,-1
truth,0
mental disorders affect women men differently disorders like depression anxiety common women,1
depression arc think,0
ive severe social anxiety since nearly clinical depression since short months,-1
dating someone understands mental health important people make feel bad,-1
today lost life rest peace wanted home going home alive depress,-1
gap months skill mans financial stability threatened portal depression activated,0
physical activity proven beneficial preventing depression person sex exercise,0
depression comes quietly,0
help really struggling depression,1
treating icu nurse manager depression many tbh today told every new grad nurse started,1
depression shit gotta stop soon,-1
mix two losing sleep exacerbate depression symptoms turn makes los,0
mach wenn bock auf depression hast,0
think falling back depression something,0
mfs played battling depression,1
depression hits hard know quarters left,-1
crying depression,-1
one depression leaving body cleaned apartment took shower,0
american still high depression though,1
today depression day,0
another thing get wrong clue pain belief burden others,-1
vois pas int r nous emp cher mourir covid est pour nous faire mourir pressiond sespoir,0
family gives pressure depression stress instead motivator downfall,1
bottom,0
psds post series depression syndrome,0
tell mountain front mountains behind lay conquered feet,-1
true donors screened mental health conditions someone crohn depressio,1
best medicine depression truly eurobeat,1
5,0
miss sexies caught seasonal depression,0
oui sais tiens aujourdhui vais faire une pression,0
sonne cures depression,0
none,0
pal zindagi pal overthinking aur pal depression nikal jata hai,0
partially agree due experiences surrounding environment people watch struggle,-1
welfare square built 1938 amid great depression intentional repudiation church leaders government,1
great depression stocks 2022 keep dreaming higher prices,1
five stages grief stage denial stage anger stage bargaining stage depression stage acceptance,-1
alive enough big struggles hit like truck hit road body alive enough face sud,1
avant retrouver mon chat pression dispara tra imm diatement,0
really bad morning depression kicking butt morning,-1
deped gave depression instead education,0
apri gli occhi vota,0
moron need give government money fix problems intellectual,-1
spirit molecule let break conquer fears depression,0
honestly hate covid killer joy thief moments memories livelihood giver sorrow depression divide,0
stages depression mild sad 2in mild severe numbness loss appetite sad severe hav,1
great many ironic things taken seriously pathway,1
suicide something dignifying need commit suicide illusion symptom,0
bawling eyes genshin playlist writers comments hng yall giving depression,0
commence diminuer mes dicaments comment vous dire que suis heureuse hamdulilah pression diminue mon,0
yelena went wearing two bouncy ponytails single fishtail braid know called depression,-1
younger adults women disabled adults unemployed adults adults living deprived areas,1
come find nanon hashad depression becoming full violent nanon apologist protectorist defender shooter,0
bye depression urself,0
prayers trust god best treatments depression philippians 467 brother eli soriano learn,1
thats going get married soon depression desperately needs,-1
prayers trust god best treatments depression philippians 467 brother eli soriano learn,1
wish dad knew damaging delays much much fighting overcome depress,1
excuse cure depression morning playing botw,-1
none,0
coach shared depression period made comfortable visit psychiatrist psychiatrist fou,1
hair depression real,1
depression affects almost migraine sufferers one time,0
speak think endwalker hits hard someone dealtdeals depression,-1
also might people started waking without severe anxiety depression cau,0
sleeping day everyday fucking love depression,1
dont think actually understand might going right,1
none,0
vents violents marge dune pression hospitali,0
symptoms noticed person might suffering depression tune listen,0
mental illness crucial sound confident still anixtey look happy broken inside,1
symptoms depression techwear,0
omg depression get bad people brush teeth ewww people depression gets bad kill themse,-1
milite officiellement pour calendrier lapr parce que avant est trop contents darriver l enfin pour,0
guys gatekeeping depression manje,0
one three high school students reported persistent feelings sadness hopelessness,1
quote today storms come many ways see lot listen judge struggle,1
wish eat depressed eat feelings type depression,0
baking bread avoid depression apologies inconsistent replies time year,0
horrible undergrad dad passing year diagnosed depression nje would,-1
dont dont give hope,0
talked therapist depression comes many forms last years hard,1
thanks mark ronson explain turned unmet psychological needs security selfesteem,1
unironically much hate race politics postdepression america literally trying make,-1
depression impression,0
public health big campaign new causes heart attacks young people poor diet pandemic depression pandem,-1
really depressed read books past week usually never read like,1
seasonal depression going seasons,0
hear someone depression told choice kill stop,0
deep eutectic solvents dess natural aromatic acids coumarin melting pts deg dess made,1
bury face chest depression gone,0
elements depressioninformed conversation 1being alert clues asking questions 2using ingredients kno,0
turns may adhd pala ako ampucha executive dysfunction rin dala depression tapos pinipilit kong maging norm,0
online media consumption depression young people systematic review metaanalysis examen,1
pandemic nearly half students reported feelings sadness eviden,-1
meme crippling depression,0
comparing others one causes stress depression disappointed,-1
1st year excitment depression every win loss 5th year calm every win loss trading changes,1
good morning girls gays thems theys pop pussy today keeps depression bay,1
love mummy best thing ever happen also appreciate women may want,1
pression lanxi battent pour voir qui tue premier,0
depression hits people extra hard time year please keep mind people struggling may,-1
add adhd ocd even tho house wreck right nowlol odd anxiety like,1
young justice depression beast boy miss martian via,1
hard end school want fun depression let,1
dont think sushant ever mentioned representing one else sushants funeral,0
habt ihr eure depression auch ausgesucht,0
none,0
fact parents cant notice depression kids big problem,0
bcs wanted second degree depression,0
crois que confonds simple prime qui est moment passag,0
ijerph vol pages 12993 depression online therapy study dotsmdasha pilot study internetbased,0
one social circle ive fucked incorrigible shithead lay try slee,-1
buddha advice depression advice meditation help thailand foundation,0
think people okay poor suffering must called depression,1
distracting depression extreme sport,-1
seasonal depression bitch,0
hahshsh man kala nasolve kona depression last year tapos ngayon parang bumabalik nanaman nawawalan nako,0
none,0
need really mentally ill woman enough girls depression anxiety need psychopath,-1
love messages sagittarius virgo scorpio able successfully detach someone unhealed narcissi,1
gibt mehrere formen ich weis trotzdem wird das wort narzisst gern genutzt genauso wie toxisch und depression,0
absolutely everyone right safe working environment nab staff say suffering depression self,1
comments returned festive depression christmas,0
pas paration stricte entre prime pression,0
festive depression christmas joy turns holiday blues christmas great also stressfu,1
worry others focus gratitude pave way calm heart unfo,1
loosing game,-1
people never dealt depression think sad bad mood,-1
drink really get depression,1
epic epi jour valid reconstruis silhouette doucement quest que cest dure,1
seasonal depression,0
depression,0
