,0,1,2,3,4
0,2021-12-05 14:14:36+00:00,iPanicffs,0,1,RT @Noty0urslutt: At this point depression is tired of me but I have attachment issues so like idk
1,2021-12-05 14:14:34+00:00,TeamDobby681,0,0,@shortdestroyer 2 words [Great] [depression]
2,2021-12-05 14:14:32+00:00,EnsuraiDicky,0,6,"RT @PatrissiaAna: Win Dota2 game -&gt; feel nothing
Lose Dota2 game -&gt; day ruined &amp; depression overdose"
3,2021-12-05 14:14:31+00:00,Igotnoroots1,0,0,"@HotKat74 Well, the darkness has an effect, but more on my depression, somewhat a S.A.D. effect cos of the lesser amount of light ....."
4,2021-12-05 14:14:31+00:00,Tanzz_xo,0,6,RT @cookiesnkarimm: that pre birthday depression stay hitting every single year
5,2021-12-05 14:14:29+00:00,lilzzz111,0,19,RT @therulaaa: depression so weird cause ur sad but u know it’s the depression but like …u can’t help feel miserable
6,2021-12-05 14:14:23+00:00,nurhazreennn,0,458,RT @wooscap: We really went from Eternal Sunshine to eternal depression.
7,2021-12-05 14:14:21+00:00,Anshraj52038101,0,8,"RT @its_ssrwarrior: CBI, We request, to kindly rule out fake depression &amp; fake suicide theory in Sushant Singh Rajput case at the earliest.…"
8,2021-12-05 14:14:21+00:00,hkwritesx,0,0,samaj lijiye yeh log jaahil hai ke unko ek sunnah se problem hai. Log kya kahengey soch kar aap muashra toh bigaad… https://t.co/IPNur89mfr
9,2021-12-05 14:14:19+00:00,itsurbae_za,0,0,depression seit dem long island zu gemacht hat
10,2021-12-05 14:14:19+00:00,lifeisgye,0,0,i have depression and broke
11,2021-12-05 14:14:17+00:00,parodymomm,0,1859,"RT @3dLooks: depression isn’t always looking and feeling sad. sometimes it’s lack of motivation, excessive sleeping, poor eating habits, un…"
12,2021-12-05 14:14:16+00:00,Harriet_SP,0,19,RT @therulaaa: depression so weird cause ur sad but u know it’s the depression but like …u can’t help feel miserable
13,2021-12-05 14:14:14+00:00,RylahBD,0,0,@dielilly Meine Erwartungen an meine Mitmenschen und besonders an die Regierung waren nie sehr hoch und konnten dem… https://t.co/URxGrgrdc3
14,2021-12-05 14:14:10+00:00,angiepantry,0,0,hope everyone is having a merry seasonal depression 💋💋 https://t.co/R8zS8vkk9f
15,2021-12-05 14:14:08+00:00,waaah_no,0,346,RT @palesa_moloto: Depression is hard to deal okes. No ways 💔
16,2021-12-05 14:14:07+00:00,peachyykermit,0,0,depression weekend almost over guys!!
17,2021-12-05 14:14:03+00:00,Marc12038502,0,1,"RT @Pathnais: @GGuilbaultCAQ @villequebec @brunomarchand Pendant que les enfants sont en état de dépression généralisé, masqués, distanciés…"
18,2021-12-05 14:14:02+00:00,Apociel,0,2,RT @wonder1ki: still going through post concert depression lol! hopefully this’ll happen again soon:) #PTD_ON_STAGE_LA #BTS https://t.co/uU…
19,2021-12-05 14:14:02+00:00,ilianzzz,0,0,@MlSSterious Je l’aime trop je pense si je fais une dépression je regarde compil al’ might tema
20,2021-12-05 14:14:01+00:00,taesmaid69,0,0,someone said charles has crashed more than mazespin this year omg that ferrari has depression
21,2021-12-05 14:14:01+00:00,investorNPress,0,0,"$TPIA Announces Plan to Develop Psychedelic Sublingual Tablet to Help Treat Depression
https://t.co/h5la3uWYpX… https://t.co/GpwUZOaClw"
22,2021-12-05 14:13:58+00:00,kaeyaship,0,2496,"RT @FrostStarlight2: Denial
Anger
Bargaining
Depression
Memes
#Albedo 
#GenshinImpact https://t.co/SqLgTL12aY"
23,2021-12-05 14:13:56+00:00,ckwlpn,0,1,RT @pinkhenstudio: Peach Depression Glass Candleholder       Hand Painted Glass Candleholder Pair      Vintage Small Candleholder       Tab…
24,2021-12-05 14:13:55+00:00,heritagesoftail,0,0,"@Monnech1 @merlep01756164 @samuletisback Yes, I remember Jared saying at a con, that Jensen had 10 years before he… https://t.co/lnn8XP2Gh9"
25,2021-12-05 14:13:53+00:00,istrawberijam05,0,0,I'm still a ✨bad bitch✨ seasoned with depression 😂 https://t.co/11oENUOtMb
26,2021-12-05 14:13:53+00:00,iamshani07,0,7571,RT @muftimenk: Don’t worry about what others have. Focus on what you have. That’s gratitude. It will pave the way for a calm heart. It unfo…
27,2021-12-05 14:13:51+00:00,twt_siti,0,0,"Bear in your mind!

""Why waste your life in sadness, heartbroken and depression 

When you can choose to enjoy your life in happiness"""
28,2021-12-05 14:13:49+00:00,RichardGramlow,0,25,"RT @erdocAA: Eating disorders, suicide attempts, PTSD, drugs and EtOH, depression, hopelessness, despair. 

This is life for many Ontario t…"
29,2021-12-05 14:13:48+00:00,ClaudiaPat2,0,0,@BetsyMoonbat Time of year potentially? I've had a few spouts myself but I turn angry. Dig deep to find the good/ha… https://t.co/V8ITjMjjZY
30,2021-12-05 14:13:48+00:00,atinycheshire,0,458,RT @wooscap: We really went from Eternal Sunshine to eternal depression.
31,2021-12-05 14:13:48+00:00,takusakura_52,0,9,"RT @study_hacker: 悔しくて悲しくて落ち込んだ感情を無視して「つらくないフリ」をすると、状況をむしろ悪化させてしまう可能性が。

感情をありのままに見つめるほうが、つらいことを乗り越えやすい！

そのために、自分に “こんな問いかけ” をしてみてください♪

h…"
32,2021-12-05 14:13:47+00:00,naozane_kenzu,0,674,RT @GiggukAZ: Depression been real quiet since YouTube removed dislikes.
33,2021-12-05 14:13:43+00:00,terpsichorx,0,0,I hate how I know anxiety and depression don’t define me but still they fuck up my life
34,2021-12-05 14:13:43+00:00,CeeYaNonoise,0,3,RT @danielmarven: Depression is real 💔
35,2021-12-05 14:13:37+00:00,ccatshu,0,729,RT @kasnel199: Mental Illness is invisible. You can sound confident &amp; have anxiety. You can turn up to work or school everyday appear “fine…
36,2021-12-05 14:13:37+00:00,visible_dark_,0,8,"RT @Nishant_Bliss: It’s okay to have breakdowns, anxiety and depression.

What not okay is to give up.

“Live longer, you’d see.” https://t…"
37,2021-12-05 14:13:35+00:00,SadPinkUnicorn,0,0,@VilGrim Ah yes with my 0$ salary and crippling depression😬
38,2021-12-05 14:13:34+00:00,Tiwari___007,0,38,RT @prashantp_2011: As #IMD predicted #CycloneJawad hits Odisha coast on Sunday; people started shifting their shops at Puri sea beach.🤔🤔🤔…
39,2021-12-05 14:13:34+00:00,npp_journal,0,1,RT @JenL_Phillips: 👋🏼 #ACNP2021 I’m a scientist and assistant professor from @TheRoyalMHC and @uOPsychiatry studying treatment-resistant de…
40,2021-12-05 14:13:34+00:00,sdu_mpembe,0,3,RT @danielmarven: Depression is real 💔
41,2021-12-05 14:13:33+00:00,innerspacegirl,0,0,@PreetBharara Is flipping between depression and fury sanity?
42,2021-12-05 14:13:29+00:00,HakaishinSenpai,0,0,@kennstdunicht99 Bin eigentlich eine von denn Sekunde 1 YouTubern und hatte auch mal Reichweite etc. aber dann hat… https://t.co/nic29B3JZC
43,2021-12-05 14:13:28+00:00,Siphokazi_nhl,0,346,RT @palesa_moloto: Depression is hard to deal okes. No ways 💔
44,2021-12-05 14:13:27+00:00,Hellawyn,0,0,"Mozart. 💙
Confirmed to help healing anxiety, depression, &amp; to make everything sliiightly better. https://t.co/9RVo0XokO5"
45,2021-12-05 14:13:24+00:00,infusionclarion,0,1,"RT @KirkJacobson40: Be it prepping for finals or just some seasonal depression, come get re-energized with some fun tonight at Infusion. Do…"
46,2021-12-05 14:13:22+00:00,AholiabBezaleel,0,5,"RT @radicaltheory: roderick ferguson:

“as female-headed families characterized a fourth of african american households during the depressi…"
47,2021-12-05 14:13:20+00:00,NoloWaBadimo,0,3,RT @danielmarven: Depression is real 💔
48,2021-12-05 14:13:15+00:00,DAVIDPLEASESTOP,1,0,This is terrible terrible news for my most consistent depression meal https://t.co/xn0457WjPb
49,2021-12-05 14:13:13+00:00,dheena_gethu,0,0,@OhMyKadhalae Yes depression overloaded cuz of my PhD 😤😤
50,2021-12-05 14:13:12+00:00,LaibaMohib,0,0,@RaziJaffery Larki nhi mil rhi = depression.  How is that so?
51,2021-12-05 14:13:10+00:00,imafckinfenix,0,6,"RT @kuadechefe: Depression is real, fuck the world"
52,2021-12-05 14:13:07+00:00,hanjoowoning,1,0,@wylsenthusiast SHAF LMAO 😭 how can this cure your depression when it triggered mine 💔
53,2021-12-05 14:13:05+00:00,BlurtAlerts,0,0,Depression: A Guide To Different Treatment Options https://t.co/nX22AF9nn4
54,2021-12-05 14:13:03+00:00,manyvictories_v,0,674,RT @GiggukAZ: Depression been real quiet since YouTube removed dislikes.
55,2021-12-05 14:12:57+00:00,MadhumitaroyC,0,8,"RT @its_ssrwarrior: CBI, We request, to kindly rule out fake depression &amp; fake suicide theory in Sushant Singh Rajput case at the earliest.…"
56,2021-12-05 14:12:56+00:00,JennaMurray93,0,254,RT @TheBloggess: I just read that depression and anxiety give you memory loss and I honestly can’t remember if I already knew that.
57,2021-12-05 14:12:55+00:00,Cikk_Yayaa,0,7572,RT @muftimenk: Don’t worry about what others have. Focus on what you have. That’s gratitude. It will pave the way for a calm heart. It unfo…
58,2021-12-05 14:12:54+00:00,beifongthorn,0,0,i have... i have depression https://t.co/epJkwgbsDx
59,2021-12-05 14:12:52+00:00,PurnimaSengup11,0,23,"RT @its_Rishika_: ◾️Why did RheaC &amp; whole Bullywood lie that Sushant was in depression?

@ips_nupurprasad @DoPTGoI @DrJitendraSingh @IPS_As…"
60,2021-12-05 14:12:52+00:00,stella_coppard,0,1,"RT @la_crip: Prince William reveals mental health crisis in frank new podcast
. I’m sorry but FFS, majority of police, paramedics and firef…"
61,2021-12-05 14:12:50+00:00,Kailenkagamine,0,2496,"RT @FrostStarlight2: Denial
Anger
Bargaining
Depression
Memes
#Albedo 
#GenshinImpact https://t.co/SqLgTL12aY"
62,2021-12-05 14:12:49+00:00,_ItsMoetBreneil,0,1859,"RT @3dLooks: depression isn’t always looking and feeling sad. sometimes it’s lack of motivation, excessive sleeping, poor eating habits, un…"
63,2021-12-05 14:12:49+00:00,ahormozi,0,254,RT @TheBloggess: I just read that depression and anxiety give you memory loss and I honestly can’t remember if I already knew that.
64,2021-12-05 14:12:49+00:00,SlothNStitch,0,254,RT @TheBloggess: I just read that depression and anxiety give you memory loss and I honestly can’t remember if I already knew that.
65,2021-12-05 14:12:48+00:00,nomaaanhassan,0,8,"RT @Nishant_Bliss: It’s okay to have breakdowns, anxiety and depression.

What not okay is to give up.

“Live longer, you’d see.” https://t…"
66,2021-12-05 14:12:48+00:00,PradeepJenaIAS,5,1,Latest message from @Indiametdept . The depression has started moving away from Puri coast. https://t.co/VuwnBukppH
67,2021-12-05 14:12:38+00:00,KhadiOladi,0,6,RT @cookiesnkarimm: that pre birthday depression stay hitting every single year
68,2021-12-05 14:12:37+00:00,MadhumitaroyC,0,13,"RT @its_ssrwarrior: If it is a suicide as announced by police in 15 mins nd as per bullyweed people the fake 'Depression' theory, why time…"
69,2021-12-05 14:12:37+00:00,NanaaasssAzman,0,7573,RT @muftimenk: Don’t worry about what others have. Focus on what you have. That’s gratitude. It will pave the way for a calm heart. It unfo…
70,2021-12-05 14:12:37+00:00,AfiqShari,0,72,"RT @ibjela: Depression ni adalah sejenis makhluk yg hidup subur dengan makan unchanneled energy.

Depression adalah sangat kuat dalam diri…"
71,2021-12-05 14:12:34+00:00,danielmarven,9,3,Depression is real 💔
72,2021-12-05 14:12:34+00:00,vengolor,0,2496,"RT @FrostStarlight2: Denial
Anger
Bargaining
Depression
Memes
#Albedo 
#GenshinImpact https://t.co/SqLgTL12aY"
73,2021-12-05 14:12:32+00:00,MxtherOfDragons,0,0,watching love actually cured my depression
74,2021-12-05 14:12:31+00:00,hanjoowoning,0,1,"RT @wylsenthusiast: Im vrying but my pet was walked, my plants watered, my skin cleared, my depression cured pls this is so gosjrjruei im j…"
75,2021-12-05 14:12:28+00:00,wildpickIe,0,0,seasonal depression in the way that winter is the only season im not depressed
76,2021-12-05 14:12:27+00:00,justabitchbae_,1,0,@oopswika @rosesforhazz thanks 4 depression
77,2021-12-05 14:12:24+00:00,Geekman85_,0,0,@Depression___be Ah okok Bah si tu veux je pourrais regarder si ça va quand t'auras fini
78,2021-12-05 14:12:22+00:00,fenqging,0,2496,"RT @FrostStarlight2: Denial
Anger
Bargaining
Depression
Memes
#Albedo 
#GenshinImpact https://t.co/SqLgTL12aY"
79,2021-12-05 14:12:21+00:00,Depression_BTS,0,1239,"RT @BHqof: แจกกุกเทียโอ💜

กติการี+ฟอลเลยย🏠

ซุ่มแจก 8/12/64 
 #ตลาดนัดบังทัน #ตลาดรถไฟฟ้าบังทัน #การ์ดจองกุก https://t.co/fMN6XCOKt9"
80,2021-12-05 14:12:21+00:00,TheHNClinic,5,0,"How to Deal with Stress and Anxiety 😱
https://t.co/2RcEcVM4gE

🌍 https://t.co/Cuky2CvBJ5
☎️ 03453192666
📧 clinic@hy… https://t.co/zxcFcubneO"
81,2021-12-05 14:12:19+00:00,higayshikata,0,0,*Standing on bench. Shia LaBeouf pose.* I HAVE DEPRESSION
82,2021-12-05 14:12:13+00:00,Aamirmalik1230,0,7573,RT @muftimenk: Don’t worry about what others have. Focus on what you have. That’s gratitude. It will pave the way for a calm heart. It unfo…
83,2021-12-05 14:12:13+00:00,wescrenshawphd,0,0,"When #parenting #teenagers, remember that a diagnosis of ADHD, depression, or anxiety can be a critical explanation. But it's not an excuse."
84,2021-12-05 14:12:11+00:00,afezamdazhar,0,7573,RT @muftimenk: Don’t worry about what others have. Focus on what you have. That’s gratitude. It will pave the way for a calm heart. It unfo…
85,2021-12-05 14:12:09+00:00,JulieY1225,0,274,"RT @hwasauced: 211204 Hwasa MMT fansign

: I’ve been having a hard time because of my depression 
🦁: Because of what?
: Depression
🦁: Depre…"
86,2021-12-05 14:12:04+00:00,_depression_bot,0,0,"Decades of therapy and meds, still hate myself https://t.co/Na6KDkiuWt https://t.co/rLWavc4pG6"
87,2021-12-05 14:12:04+00:00,LeshAvaMom,0,0,"Im walking into 2022 with a clean heart  💜 no more pain , depression , or sadness🙅🏾 if you did me wrong I forgive y… https://t.co/X8coG7FFBW"
88,2021-12-05 14:12:01+00:00,IndiaAlmighty,0,1859,"RT @3dLooks: depression isn’t always looking and feeling sad. sometimes it’s lack of motivation, excessive sleeping, poor eating habits, un…"
89,2021-12-05 14:11:54+00:00,PrincessGaelic,0,1,"RT @kittycatSassy: A thread 🪡 about Sasuke’s pretty hair and facr to cure mine and perhaps your depression too caused by Boruto, enjoy: htt…"
90,2021-12-05 14:11:52+00:00,MissDAO_7,0,172,"RT @ForeverPurple23: Post concert depression hitting hard, so here’s my favorite bare faced Jimin to help ease the pain a little 😭 https://…"
91,2021-12-05 14:11:46+00:00,AfiqEizzuddin,0,72,"RT @ibjela: Depression ni adalah sejenis makhluk yg hidup subur dengan makan unchanneled energy.

Depression adalah sangat kuat dalam diri…"
92,2021-12-05 14:11:38+00:00,syifasyira08,0,7573,RT @muftimenk: Don’t worry about what others have. Focus on what you have. That’s gratitude. It will pave the way for a calm heart. It unfo…
93,2021-12-05 14:11:37+00:00,karrotintrash,0,132,"RT @inniterclips: #TOMMY: i’ve got chocolate :D
#CORPSE: i’ve got clinical depression https://t.co/HFOpHX0wjs"
94,2021-12-05 14:11:36+00:00,shinigamibutter,0,0,11yr olds are a fucking handful. And depression is the goddamn worst.
95,2021-12-05 14:11:32+00:00,hessa2020B,0,11,RT @DrIbrahimhamdi: الاكتئاب الصامت smiling depression https://t.co/dUr9YKDsUU
96,2021-12-05 14:11:29+00:00,BombasticTom,2,0,@kiwiroyaleaks @TweaBR ok does that matter? the only thing that matters is fortnite... I CAN'T BREATHE WITHOUT FORT… https://t.co/uIs0ksE4AE
97,2021-12-05 14:11:20+00:00,Cynthia_Helldon,1,0,@RifiHood On dirait depuis 2014 il est pas sortie de sa dépression
98,2021-12-05 14:11:13+00:00,TSkhubane,0,109,"RT @Sir_Goodness93: @akreana_ I'm student(will provide proof),its hectic that at time i'd be won by thoughts taking my life due to anxiety…"
99,2021-12-05 14:11:12+00:00,xiaolyse,0,2496,"RT @FrostStarlight2: Denial
Anger
Bargaining
Depression
Memes
#Albedo 
#GenshinImpact https://t.co/SqLgTL12aY"
100,2021-12-05 14:11:12+00:00,prettyalready17,0,268,RT @voguingbey: a beyoncé concert rn would cure my depression
101,2021-12-05 14:11:12+00:00,womannamedtyler,0,0,It’s so easy to hide ppd when you’re already used to hiding your depression
102,2021-12-05 14:11:12+00:00,LookToLaLuna_,0,1,RT @hawloffame: I just really hope The Discourse™ doesn’t bitch when Obi-Wan Kenobi is a lyrical meditation on depression and PTSD and not…
103,2021-12-05 14:11:09+00:00,MadhumitaroyC,0,15,"RT @Ishaan07171582: #CBI rule out false su***de  narratives &amp; fake depression theory 
@ips_nupurprasad
@HMOIndia
@PMOIndia
@DoPTGoI
CBI Pen…"
104,2021-12-05 14:11:08+00:00,mindfulcircle,0,0,#ACT Practice - Mental Rehearsal &amp; #Mindfulness Skills for #Anxiety and #Depression https://t.co/1ExPhwEhB2
105,2021-12-05 14:11:07+00:00,SloaneFragment,0,6,"RT @SwarmingTheSun: There's a fuck ton of people who've never had depression, but were bored once or sad on a weekend who think they've con…"
